hero,hero_slug,role,category,perk_type,perk_name,pick_rate,perk_slug,perk_image_url,perk_image_raw_url,hero_image_url,source_url,update_date
시에라,sierra,Damage,damages,minor,전력 비행,27,full_flight,https://owperks.com/_next/image?url=%2Fperks-icons%2Ffull_flight.webp&w=32&q=75,https://owperks.com/perks-icons/full_flight.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsierra.webp&w=64&q=75,https://owperks.com/ko/damages/sierra,2026-05-01
안란,anran,Damage,damages,major,꿈꾸는 불꽃,78,hungering_blaze,https://owperks.com/_next/image?url=%2Fperks-icons%2Fhungering_blaze.webp&w=32&q=75,https://owperks.com/perks-icons/hungering_blaze.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fanran.webp&w=64&q=75,https://owperks.com/ko/damages/anran,2026-05-01
안란,anran,Damage,damages,major,급한 성미,22,short_fuse,https://owperks.com/_next/image?url=%2Fperks-icons%2Fshort_fuse.webp&w=32&q=75,https://owperks.com/perks-icons/short_fuse.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fanran.webp&w=64&q=75,https://owperks.com/ko/damages/anran,2026-05-01
안란,anran,Damage,damages,minor,불씨,74,smoulder,https://owperks.com/_next/image?url=%2Fperks-icons%2Fsmoulder.webp&w=32&q=75,https://owperks.com/perks-icons/smoulder.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fanran.webp&w=64&q=75,https://owperks.com/ko/damages/anran,2026-05-01
안란,anran,Damage,damages,minor,열 보호막,26,heat_shield,https://owperks.com/_next/image?url=%2Fperks-icons%2Fheat_shield.webp&w=32&q=75,https://owperks.com/perks-icons/heat_shield.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fanran.webp&w=64&q=75,https://owperks.com/ko/damages/anran,2026-05-01
애쉬,ashe,Damage,damages,major,독사의 침,83,vipers_sting,https://owperks.com/_next/image?url=%2Fperks-icons%2Fvipers_sting.webp&w=32&q=75,https://owperks.com/perks-icons/vipers_sting.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fashe.webp&w=64&q=75,https://owperks.com/ko/damages/ashe,2026-05-01
애쉬,ashe,Damage,damages,major,공중 폭발,17,airburst,https://owperks.com/_next/image?url=%2Fperks-icons%2Fairburst.webp&w=32&q=75,https://owperks.com/perks-icons/airburst.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fashe.webp&w=64&q=75,https://owperks.com/ko/damages/ashe,2026-05-01
애쉬,ashe,Damage,damages,minor,원격 기폭,80,remote_detonator,https://owperks.com/_next/image?url=%2Fperks-icons%2Fremote_detonator.webp&w=32&q=75,https://owperks.com/perks-icons/remote_detonator.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fashe.webp&w=64&q=75,https://owperks.com/ko/damages/ashe,2026-05-01
애쉬,ashe,Damage,damages,minor,이중 총열,20,double_barreled,https://owperks.com/_next/image?url=%2Fperks-icons%2Fdouble_barreled.webp&w=32&q=75,https://owperks.com/perks-icons/double_barreled.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fashe.webp&w=64&q=75,https://owperks.com/ko/damages/ashe,2026-05-01
에코,echo,Damage,damages,major,전탄 발사,96,full_salvo,https://owperks.com/_next/image?url=%2Fperks-icons%2Ffull_salvo.webp&w=32&q=75,https://owperks.com/perks-icons/full_salvo.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fecho.webp&w=64&q=75,https://owperks.com/ko/damages/echo,2026-05-01
