hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,ban_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
윈스턴,Tank,Master,eichenwalde,아이헨발데,2026-05-18,56.3,13.5,2.8,0.9606124540287772,2.6741486494265287,0.8218186969367919,0.739313373986763,S
일리아리,Support,Master,eichenwalde,아이헨발데,2026-05-18,57.7,14.0,28.6,1.096214923814572,2.70805020110221,0.8674392602132905,1.1540184428150198,S
자리야,Tank,Master,eichenwalde,아이헨발데,2026-05-18,63.6,8.1,18.8,1.6676824750547046,2.2082744135228043,0.1949021103080403,1.172721177927801,S
정커퀸,Tank,Master,eichenwalde,아이헨발데,2026-05-18,18.4,1.8,0.0,-2.7103401208866518,1.0296194171811583,-1.3911876756747372,-1.9767696797730445,C
정크랫,Damage,Master,eichenwalde,아이헨발데,2026-05-18,26.8,3.9,1.1,-1.8967253021718862,1.589235205116581,-0.6381251696199144,-1.2236080909743787,C
제트팩 캣,Support,Master,eichenwalde,아이헨발데,2026-05-18,29.1,3.8,45.7,-1.6739498160952242,1.5686159179138452,-0.6658720853229934,-0.6170417570599942,C
젠야타,Support,Master,eichenwalde,아이헨발데,2026-05-18,45.6,10.2,2.3,-0.0757778507626496,2.4159137783010487,0.47431778042773354,0.093967277962136,B
주노,Support,Master,eichenwalde,아이헨발데,2026-05-18,35.9,1.8,0.0,-1.015309248564224,1.0296194171811583,-1.3911876756747372,-1.1292542436118307,C
캐서디,Damage,Master,eichenwalde,아이헨발데,2026-05-18,42.5,29.2,6.9,-0.3760404624311941,3.407841924380824,1.8091334014611926,0.48598121844401126,A
키리코,Support,Master,eichenwalde,아이헨발데,2026-05-18,49.5,50.6,2.3,0.301971886497777,3.9435216724875173,2.529985711651186,0.899542525959385,S
토르비욘,Damage,Master,eichenwalde,아이헨발데,2026-05-18,55.2,3.5,1.1,0.8540676563399394,1.5040773967762742,-0.7527201362763734,0.11740989828459626,A
트레이서,Damage,Master,eichenwalde,아이헨발데,2026-05-18,54.7,24.8,2.3,0.8056382028450129,3.250374491927572,1.5972329835999504,0.8715498657176323,S
파라,Damage,Master,eichenwalde,아이헨발데,2026-05-18,55.2,5.4,52.0,0.8540676563399394,1.8562979903656263,-0.278744725627089,0.7836471268396608,S
프레야,Damage,Master,eichenwalde,아이헨발데,2026-05-18,54.0,11.5,19.3,0.7378369679521155,2.5257286443082556,0.6220932006004838,0.840003981318218,S
한조,Damage,Master,eichenwalde,아이헨발데,2026-05-18,44.2,10.5,0.0,-0.2113803205484437,2.4423470353692043,0.5098884259314548,-0.15696694912208278,B
해저드,Tank,Master,eichenwalde,아이헨발데,2026-05-18,50.0,12.1,12.0,0.3504013399927035,2.5726122302071057,0.6851833982878636,0.5928693265744689,S
D.VA,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,56.9,8.1,68.0,0.5299776315167934,2.2082744135228043,0.21855502729675202,0.8106409303810783,S
겐지,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,66.7,12.6,0.0,0.9577599639329651,2.6100697927420065,0.7150201727114572,0.5502246287927817,S
도미나,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,66.2,4.3,0.0,0.9359343347280584,1.667706820558076,-0.4493794053222411,0.1899919407802188,A
둠피스트,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,80.0,12.1,0.0,1.5383217007834835,2.5726122302071057,0.6687369768546315,0.826620538460993,S
라마트라,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,67.7,2.7,0.0,1.0014112223427785,1.308332819650179,-0.8934279804096792,0.0895158120613474,B
라이프위버,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,25.4,12.0,0.0,-0.8450370083923292,2.5649493574615367,0.6592686020830844,-0.36789932855837737,C
라인하르트,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,0.0,1.3,0.0,-1.95377897200159,0.832909122935104,-1.4808695164022518,-1.5643117459086087,C
레킹볼,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,59.6,5.5,4.0,0.6478360292232899,1.8718021769015913,-0.1971957416811762,0.3585020292107615,A
로드호그,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,42.8,5.9,2.0,-0.08550511206157578,1.9315214116032138,-0.12340564833114555,-0.061223420626832906,B
루시우,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,53.1,4.5,0.0,0.3641028495595026,1.7047480922384253,-0.40361058546456535,-0.08219315584675638,B
리퍼,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,50.8,13.0,8.0,0.26370495521693155,2.6390573296152584,0.7508376620438616,0.5373668410153597,S
마우가,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,20.1,9.6,18.0,-1.0763886779643401,2.3608540011180215,0.40708493844201954,-0.12581820913009095,B
메르시,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,44.7,13.6,0.0,-0.0025677210829300368,2.681021528714291,0.8026893340277418,0.09636153467971942,B
메이,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,45.7,4.4,0.0,0.04108353732688338,1.6863989535702288,-0.4262830905960165,-0.25050456350250133,B
모이라,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,2.7,1.1,0.0,-1.8359205742950935,0.7419373447293773,-1.593275779469057,-1.539104425975402,C
미즈키,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,69.5,3.2,12.0,1.0799834874804426,1.4350845252893227,-0.7368114357047966,0.5533392959534463,S
바스티온,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,71.0,3.6,0.0,1.1454603750951626,1.5260563034950494,-0.6244051726379913,0.2422472307690458,A
바티스트,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,43.1,8.1,0.0,-0.07240973453863157,2.2082744135228043,0.21855502729675202,-0.11379976406742826,B
벤데타,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,71.0,2.8,0.0,1.1454603750951626,1.33500106673234,-0.8604762446497284,0.17142590916552475,A
벤처,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,98.1,1.1,0.0,2.328409478001106,0.7419373447293773,-1.593275779469057,0.5430606001726979,S
브리기테,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,55.2,10.6,2.0,0.45577049222011085,2.451005098112319,0.5184771539661103,0.40197922220318716,A
소전,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,40.2,16.8,0.0,-0.1989983839270904,2.8791984572980396,1.0475600885355836,0.07160742960999175,B
솔저: 76,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,1.3,2.1,0.0,-1.8970323360688326,1.1314021114911006,-1.1120465467187803,-1.4252915370371886,C
솜브라,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,34.7,2.6,0.0,-0.4390803051810642,1.2809338454620642,-0.9272826149028626,-0.6408863420485289,C
시그마,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,39.7,9.9,2.0,-0.22082401313199712,2.388762789235098,0.4415695076220287,0.040609675623908686,B
시메트라,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,52.8,4.0,0.0,0.3510074720365584,1.6094379124341003,-0.5213774506983269,-0.12407090417835692,B
시에라,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,5.5,1.0,0.0,-1.7136970507476161,0.6931471805599453,-1.6535617289895705,-1.4960784490578174,C
아나,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,55.2,54.6,14.0,0.45577049222011085,4.018183201256536,2.454908843101504,1.2198128710344127,S
안란,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,7.0,2.0,0.0,-1.648220163132896,1.0986122886681098,-1.1525622046827249,-1.3130401479584037,C
애쉬,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,24.1,3.4,0.0,-0.9017836443250865,1.4816045409242156,-0.6793305199915487,-0.797852383147146,C
에코,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,37.0,15.9,2.0,-0.3386824108384935,2.827313621929028,0.9834503111002354,0.14424471781412251,A
엠레,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,74.5,15.0,2.0,1.2982397795295098,2.772588722239781,0.9158313023032106,0.9424201103590166,S
오리사,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,58.7,8.4,18.0,0.6085498966544578,2.2407096892759584,0.25863260092302964,0.672115376923611,S
우양,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,55.6,13.0,0.0,0.47323099558403614,2.6390573296152584,0.7508376620438616,0.31870539141803844,A
위도우메이커,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,18.0,3.4,0.0,-1.1680563206249484,1.4816045409242156,-0.6793305199915487,-0.9309887212970769,C
윈스턴,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,17.8,12.4,0.0,-1.176786572306911,2.5952547069568657,0.6967144029115547,-0.5225403702671272,C
일리아리,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,65.5,22.0,30.0,0.9053784538411889,3.1354942159291497,1.3642434494175129,1.2242728518842056,S
자리야,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,51.8,5.4,30.0,0.307356213626745,1.8562979903656263,-0.21635297598803296,0.45108280415532,A
정커퀸,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,14.9,3.2,0.0,-1.30337522169537,1.4350845252893227,-0.7368114357047966,-1.015892446546262,C
정크랫,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,29.9,7.4,0.0,-0.6486063455481688,2.128231705849268,0.11965290805946378,-0.4315687053433833,C
제트팩 캣,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,21.4,4.0,58.0,-1.0196420420315828,1.6094379124341003,-0.5213774506983269,-0.20919511757675235,B
젠야타,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,55.2,7.4,0.0,0.45577049222011085,2.128231705849268,0.11965290805946378,0.12061971354075646,B
주노,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,86.1,1.2,0.0,1.804594377083345,0.7884573603642702,-1.5357948637558092,0.2983973244277917,A
캐서디,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,43.5,33.1,2.0,-0.054949231174706265,3.529297384289471,1.850833284334746,0.5463261996163693,S
키리코,Support,Grandmaster,eichenwalde,아이헨발데,2026-05-18,38.5,44.5,6.0,-0.27320552322377334,3.817712325956905,2.2072036493522567,0.6688287134192619,S
토르비욘,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,59.3,3.1,0.0,0.6347406517003457,1.410986973710262,-0.7665867767554707,-0.05576711216360647,B
트레이서,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,55.0,35.2,10.0,0.44704024053814806,3.5890591188317256,1.9246758912044704,1.0107240405876683,S
파라,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,48.4,4.0,64.0,0.15894193503337942,1.6094379124341003,-0.5213774506983269,0.3943528573224631,A
프레야,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,40.2,9.8,6.0,-0.1989983839270904,2.379546134130174,0.4301812531682438,0.17282556421239953,A
한조,Damage,Grandmaster,eichenwalde,아이헨발데,2026-05-18,18.4,3.4,0.0,-1.1505958172610231,1.4816045409242156,-0.6793305199915487,-0.9222584696151142,C
해저드,Tank,Grandmaster,eichenwalde,아이헨발데,2026-05-18,42.2,11.0,10.0,-0.11169586710746358,2.4849066497880004,0.5603664828457962,0.3220631642572602,A
D.VA,Tank,All,blizzard-world,블리자드 월드,2026-05-18,50.3,8.0,24.0,0.7747120659968122,2.1972245773362196,0.050562355043920586,0.7161989230034964,S
겐지,Damage,All,blizzard-world,블리자드 월드,2026-05-18,49.9,14.0,1.9,0.6427911465783244,2.70805020110221,0.898463097524157,0.5217443266687398,S
도미나,Tank,All,blizzard-world,블리자드 월드,2026-05-18,49.5,4.8,6.5,0.5108702271598364,1.7578579175523736,-0.678726270505617,0.1515067593954226,A
둠피스트,Tank,All,blizzard-world,블리자드 월드,2026-05-18,49.2,5.5,40.6,0.41192953759597106,1.8718021769015913,-0.48959436793719574,0.46326617127847536,A
라마트라,Tank,All,blizzard-world,블리자드 월드,2026-05-18,45.0,5.9,1.9,-0.9732401162981577,1.9315214116032138,-0.3904685976390058,-0.67295081331845,C
라이프위버,Support,All,blizzard-world,블리자드 월드,2026-05-18,46.2,6.7,0.6,-0.5774773580426916,2.0412203288596382,-0.20838338291295289,-0.5261424335002073,C
